URL,Name,Price,Rating,Reviews,Acin
https://www.amazon.in/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL66G55,"WILDHORN 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags",599,4.1,1614,B09QL66G55
https://www.amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ,ADISA Light Weight Laptop Backpack 32 Ltrs,499,4.0,6090,B07F3X45WZ
https://www.amazon.in/FATMUG-Laptop-Bag-Men-Convertible/dp/B084LF4RT5,"FATMUG Laptop Bag For Men - Convertible Backpack For Office And Travel (Dark Grey,Oxford Fabric)","1,699",4.4,2318,B084LF4RT5
https://www.amazon.in/FUR-JADEN-Backpack-Accessories-Organiser/dp/B0BSHBH9K2,"FUR JADEN 15.6 Inch Smart Laptop Backpack Bag With USB Charging Port, Anti Theft Pocket and Accessories Organiser for Men Women Boys Girls","1,329",4.1,697,B0BSHBH9K2
https://www.amazon.in/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL81ZHB,"WILDHORN 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags",599,4.1,1614,B09QL81ZHB
https://www.amazon.in/Arctic-Fox-Liters-String-Backpack/dp/B08L6Q9V1H,Arctic Fox 15 Liters Draw String Bag Lavender Backpack,209,4.2,3525,B08L6Q9V1H
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"1,115",4.3,6112,B075MK4TXP
https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QL8633G,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",929,3.9,1095,B07QL8633G
https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV,Safari Compact Size 15 Ltrs Casual Backpack For Unisex Adult - Sea Blue,329,4.0,20500,B07Q7CNPMV
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPTV3795,ADISA 32L large laptop backpack office bag college travel back pack with rain cover,599,3.9,322,B0BPTV3795
https://www.amazon.in/Zebronics-TechshieldA1-Compartment-15-6-inch-Polyester/dp/B0C6QV9GCY,"Zebronics TechshieldA1, 18 Liters, 1 Compartment Laptop Backpack and Front Pocket, fit Up to 15.6-inch Laptop, Polyester Fabric, Office Use and Mini Business Travel Bags (Light Grey)",599,5.0,4,B0C6QV9GCY
https://www.amazon.in/Gear-Training-Travel-Duffel-DUFCRSTNG4314/dp/B098FG3GVX,Gear Polyester 23 Cms Travel Bag(DUFCRSTNG4314_Khaki),478,4.1,562,B098FG3GVX
https://www.amazon.in/Safari-Laptop-Backpack-Compartments-Resistant/dp/B09B27S9SG,"Safari Tribe 35 Ltrs Large Laptop Backpack with 3 Compartments, Water Resistant Fabric - Black (TRIBE19CBBLK)","1,109",3.8,1714,B09B27S9SG
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTC876Z,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",670,4.0,5627,B09VTC876Z
https://www.amazon.in/LOOKMUSTER-Waterproof-Backpack-College-Business/dp/B0BS6YGKMC,LOOKMUSTER Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack…,613,3.9,45,B0BS6YGKMC
https://www.amazon.in/Motherly-Stylish-Babies-Diaper-Mothers/dp/B07DMKJJB4,motherly Stylish Babies Diaper Bags for Mothers - Economical Version (Grey and Pink),"1,799",4.6,5923,B07DMKJJB4
https://www.amazon.in/AUXTER-BLACKY-Duffel-Emboss-Black/dp/B07F2H25NP,AUXTER Faux Leather 23 Cms Duffle Bag(AUX_GB_LE_Black -SE__0521_Black),429,4.3,9298,B07F2H25NP
https://www.amazon.in/AmazonBasics-Mini-Backpack-Outdoor-Black/dp/B0BRKFXT9Z,AmazonBasics - Mini Backpack for Outdoor Use (12 l) (Black),279,3.7,616,B0BRKFXT9Z
https://www.amazon.in/Lunars-V-Line-Resistant-Bagpack-College/dp/B08BP5CYDV,"Lunar's V-Line Backpack for Men, Blue | 35L Water Resistant School Bags for Boys | Stylish, & Durable | College Bags for Men/College Bag for Girls | 1 Yr Warranty",735,4.1,2687,B08BP5CYDV
https://www.amazon.in/Zipline-Nexa-Resistant-Bagpack-Backpack/dp/B08WQ668WJ,Zipline Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag,843,3.6,913,B08WQ668WJ
https://www.amazon.in/TRUE-Emperor-Anti-Theft-backpack-charging/dp/B0BYB631NR,"TRUE HUMAN® Emperor Anti-Theft Pocket backpack With USB charging Port Laptop,office,college,travel bag for men and women(Epower)",599,3.6,264,B0BYB631NR
https://www.amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3,Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,"1,049",4.0,8327,B097RJ22Q3
https://www.amazon.in/Wildcraft-Wolf_Blk-Casual-Backpack-11629-Wolf_Blk/dp/B079DDT65R,Wildcraft Nylon 44 Ltrs Casual Backpack (11629-Wolf_Black),"1,769",4.3,5876,B079DDT65R
https://www.amazon.in/Nivia-Deflate-5180BK-Polyester-Round/dp/B07222KX3S,NIVIA Deflate Round 01 Polyester Gym Bag/Unisex Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Carry Gym Accessories/Fitness Bag/Sports &Travel Bag/Gym kit Bag (Black),459,4.2,7604,B07222KX3S
https://www.amazon.in/Genie-Flamenco2-Backpack-Compatible-Resistant/dp/B08YF9VHTY,Genie Flamenco2 Casual Backpacks for Women,733,4.3,1558,B08YF9VHTY
https://www.amazon.in/Nelle-Harper-Womens-Sling-Green/dp/B07JGQM7DC,Nelle Harper Women's Handbag,959,3.7,1924,B07JGQM7DC
https://www.amazon.in/LOOKMUSTER-Waterproof-Backpack-College-Business/dp/B0BZW8KW18,LOOKMUSTER (15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,439,3.7,55,B0BZW8KW18
https://www.amazon.in/Safari-Spartan-Water-Resistant-Backpack/dp/B09B26MB5M,"Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)",609,3.8,974,B09B26MB5M
https://www.amazon.in/Wildcraft-Green-Casual-Backpack-11650-Green/dp/B079DV66TY,Wildcraft 29.5 Ltrs Green Casual Backpack (11650-Green),990,4.1,401,B079DV66TY
https://www.amazon.in/Safari-Casual-Backpack-Charging-Resistant/dp/B09B2581S9,"Safari Sneak Casual Backpack with USB Charging Port 26 Ltrs Water Resistant Fabric - Grey, L (SNEAK19CBGRE)",959,3.7,1054,B09B2581S9
https://www.amazon.in/Skybags-Unisex-Gucci-Fabric-Backpacks/dp/B0B21XCFRM,Skybags Unisex Gucci Fabric Backpacks,809,3.9,407,B0B21XCFRM
https://www.amazon.in/Nivia-6853-Polyester-Basic-Duffle/dp/B07FWQ9HRV,NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,269,4.0,3846,B07FWQ9HRV
https://www.amazon.in/Safari-Sheild-Resistant-Casual-Backpack/dp/B09B28M2RN,Safari Sheild 26 Ltrs Water Resistant Casual Backpack - (SHEILD19CBBLK),709,4.0,560,B09B28M2RN
https://www.amazon.in/Gear-Vintage2-Leather-Backpack-LBPVG2LTH0501/dp/B07G4HH78P,Gear Vintage2 28L Medium Size Faux Leather Water Resistant Anti Theft Unisex LaptopBackpack- Navy,969,4.4,3352,B07G4HH78P
https://www.amazon.in/Safari-Spartan-Water-Resistant-Backpack/dp/B09B277CR5,"Safari Spartan 21 Ltrs Water Resistant Backpack - Teal, S (SPARTAN19CBTEA)",609,3.8,958,B09B277CR5
https://www.amazon.in/ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVMR33Q,Zipline Unisex casual polyester 36 L Backpack School Bag Women Men Boys Girls children Daypack College Bag Book School Sports Bag Weekend Bag,843,4.0,6345,B07XVMR33Q
https://www.amazon.in/Gear-Beige-Casual-Backpack-BKPTRMP520522/dp/B00VWM11HQ,Gear Triumph Summer Print 26L Water Resistant Backpack with Rain Cover/School Bag/College Bag/Daypack/Casual Backack for Girls/Women (Blue-Beige),797,4.2,5724,B00VWM11HQ
https://www.amazon.in/ROZEN-School-partition-Collage-Backpack/dp/B0BRTDXVZC,"ROZEN 47 Ltrs, 46 cms School Bag Class 5-12 Large 5 partition Laptop Collage Office Travel Backpack Unisex",697,4.0,205,B0BRTDXVZC
https://www.amazon.in/Martucci-Casual-Travelling-Laptop-Backpack/dp/B088B4P6ZW,Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Black),549,3.9,7770,B088B4P6ZW
https://www.amazon.in/Genie-Miami-litres-Casual-Backpack/dp/B07SRGGGNC,"Genie Miami Laptop Backpack for Women,Tuition bag, 16 inches Office Bag, Sky Blue Stylish and Trendy Bag for Office and College",803,4.2,1487,B07SRGGGNC
