URL,Name,Price,Rating,Reviews,Acin,Description
https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,199,3.7,7059.0,B019HA8AYG,Not responding
https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH,Gear Classic 20L Small Size Faux Leather Water Resistant Anti Theft Unisex Laptop Backpack- Brown,979,4.4,6041.0,B07G4F6XFH,"['Care Instructions: Hand Wash Only', 'Outer material: synthetic, color: brown', 'Waterproof', 'Capacity: 20 liters; Weight: 560 grams; Dimensions: 48 cms x 32 cms x 14 cms (LxWxH)', 'Number of compartments: 2', 'Laptop compatibility: yes, laptop size: 16strap type: adjustable', 'Anti theft waterproof bag with anti sweat fabric on back and shoulder straps', 'USB and headphone cable slot', 'External bottle pocket', 'Concealed quick access Pockets on back panel ,Adjustable Anti sweat padded Shoulder straps , Padded Laptop sleeve,2 External Pockets, Padded Back Panel Cushioned with Anti Sweat Fabric,Embedded Organizer , USB and Headphone cable slot .']"
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),588,4.3,12365.0,B084JGJ8PF,"['30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.', 'Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics.', 'Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.', 'Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks', '1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty', 'Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.']"
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,399",4.2,674.0,B0BTD4FK9G,"['Care Instructions: Hand Wash Only', 'Well Organized compartment ,Security Back Pocket']"
https://www.amazon.in/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ,Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey),387,4.3,7924.0,B07XXFB9CZ,"['Premium Durable Material - Travel duffel bag is made of high quality,durable material.', 'Separate Shoes Compartment - Built-in extra shoes compartment with exterior zippers to keep your shoes and clean sport gears separate.', 'Multi-Purpose & Any Occasions - Perfect Duffle Bag for hiking, family holiday, vacation, sports, a short trip, gym, work, beach, used as a overnight bag, a short journey bag, a weekender bag, gym bag, sports duffel bag.', 'Adjustable Shoulder straps - Comfortable and adjustable shoulder strap', 'Abundance of Storage - Large capacity,meet your requirement for sure and keep your stuff in order. What an amazing design for Sport Bag!']"
https://www.amazon.in/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY,FUR JADEN Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port For Men Women Boys Girls,839,4.0,13943.0,B078GLXMDY,Not responding
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF,ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,499,3.9,1155.0,B09TPX22NF,"['Care Instructions: Wipe with Damp Cloth', 'Material: Water Resistant Light-Weight Polyester<br>', 'Compartments: 2 with padding; Laptop Size: 15.6 inch and below<br>', 'Dimensions: LxWxH - 12.5 x 7.5 x 19 inches<br>', 'Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders<br>', 'Closure Type: Zipper<br>']"
https://www.amazon.in/Half-Moon-Backpack-Spacious-Multiple/dp/B0C23Z9W18,Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,649,3.6,236.0,B0C23Z9W18,"['This lightweight and spacious laptop bag with 3 compartments contains a dedicated 360 degree protected laptop compartment (up to 17""), so you can you can transport your tech with peace of mind. A Spacious second compartment for essentials like books and files, and a third compartment for extra items. Also features padded shoulder straps and side pockets for water bottles.', ""Carry your books and belongings with ease with this comfortable and durable bagpack! Featuring wide, padded, and adjustable shoulder straps and a padded back, this backpack can handle even heavy loads. Made with strong yet lightweight polyester fabric and heavy-duty zippers, it's built to last. Plus, it comes with a rain cover, perfect for those rainy school or college days."", 'Make a statement on your next trip with our smart and stylish backpack! With a trendy and athletic design, this multipurpose backpack is the perfect combination of style and adventure. Your trips, travel experience cannot get completed without this amazing trekking backpack.', ""Experience enduring and long-lasting performance with our backpack! Made with highly durable material, this backpack is suitable for all weather conditions, including heavy rains and extreme heat. It not only keeps your belongings safe but also resists damage to itself. So, don't settle for anything less."", 'FEATURES: 15.6 inch Laptop compartment, Internal Organiser, Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, etc']"
https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",399,4.3,4224.0,B08R7RPVJF,"['Slim, compact & sturdy: Minimal and compact design for professionals: Joint material design, durable, water-resistant polyester material. The padded shoulder straps, handle, and back panel provides protection and all-day comfort', 'Smooth zippers that never jam or break', 'Style meets Function: Minimal & compact design, stores and protects laptops up to 15.6-inches. Ideal for students and professionals looking for a stylish and compact backpack for daily use', ""Spacious storage with easy organization: Inside, you'll find a laptop sleeve, a tablet pocket, a roomy front workstation, and two side pockets for quick access to your other essentials""]"
https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2,Safari Quill Large Laptop Backpack 26 Ltrs Water Resistant Fabric - Black,859,3.9,1029.0,B09B25Z8M2,"['Care Instructions: Hand Wash Only', '100% Polyester, High Quality, Durable and Water Resistant Fabric', '2 compartment backpack with a padded sleeve for laptops, can hold upto 17 inch laptop/notebook', 'Front storage pocket keeps smaller items neatly organized and easy to access', 'Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects', 'Age Range Description: Adult; Closure Type: Zipper; Special Features: Lightweight']"
